Company Name,Symbol,Lot Size
AARTI INDUSTRIES LTD,AARTIIND,425
ACC LIMITED,ACC,500
ADANI ENTERPRISES LIMITED,ADANIENT,2000
ADANI PORT & SEZ LTD,ADANIPORTS,2500
ALKEM LABORATORIES LTD.,ALKEM,200
AMARA RAJA BATTERIES LTD.,AMARAJABAT,1000
AMBUJA CEMENTS LTD,AMBUJACEM,3000
ALEMBIC PHARMA LTD,APLLTD,550
APOLLO HOSPITALS ENTER. L,APOLLOHOSP,500
APOLLO TYRES LTD,APOLLOTYRE,5000
ASHOK LEYLAND LTD,ASHOKLEY,9000
ASIAN PAINTS LIMITED,ASIANPAINT,300
AU SMALL FINANCE BANK LTD,AUBANK,500
AUROBINDO PHARMA LTD,AUROPHARMA,650
AXIS BANK LIMITED,AXISBANK,1200
BAJAJ AUTO LIMITED,BAJAJ-AUTO,250
BAJAJ FINSERV LTD.,BAJAJFINSV,125
BAJAJ FINANCE LIMITED,BAJFINANCE,250
BALKRISHNA IND. LTD,BALKRISIND,400
BANDHAN BANK LIMITED,BANDHANBNK,1800
BANK OF BARODA,BANKBARODA,11700
BATA INDIA LTD,BATAINDIA,550
BHARAT ELECTRONICS LTD,BEL,7600
BERGER PAINTS (I) LTD,BERGEPAINT,1100
BHARAT FORGE LTD,BHARATFORG,1500
BHARTI AIRTEL LIMITED,BHARTIARTL,1851
BHEL,BHEL,21000
BIOCON LIMITED.,BIOCON,2300
BOSCH LIMITED,BOSCHLTD,50
BHARAT PETROLEUM CORP LT,BPCL,1800
BRITANNIA INDUSTRIES LTD,BRITANNIA,200
CADILA HEALTHCARE LIMITED,ZYDUSLIFE,2200
CANARA BANK,CANBK,5400
CHOLAMANDALAM IN & FIN CO,CHOLAFIN,2500
CIPLA LTD,CIPLA,1300
COAL INDIA LTD,COALINDIA,4200
COFORGE LIMITED,COFORGE,375
COLGATE PALMOLIVE LTD.,COLPAL,700
CONTAINER CORP OF IND LTD,CONCOR,1563
CITY UNION BANK LTD,CUB,3100
CUMMINS INDIA LTD,CUMMINSIND,1200
DABUR INDIA LTD,DABUR,1250
DEEPAK NITRITE LTD,DEEPAKNTR,500
DIVI'S LABORATORIES LTD,DIVISLAB,200
DLF LIMITED,DLF,3300
DR. REDDY'S LABORATORIES,DRREDDY,125
EICHER MOTORS LTD,EICHERMOT,350
ESCORTS INDIA LTD,ESCORTS,550
EXIDE INDUSTRIES LTD,EXIDEIND,3600
FEDERAL BANK LTD,FEDERALBNK,10000
GAIL (INDIA) LTD,GAIL,6100
GLENMARK PHARMACEUTICALS,GLENMARK,1150
GMR INFRASTRUCTURE LTD.,GMRINFRA,22500
GODREJ CONSUMER PRODUCTS,GODREJCP,1000
GODREJ PROPERTIES LTD,GODREJPROP,650
GRANULES INDIA LIMITED,GRANULES,1550
GRASIM INDUSTRIES LTD,GRASIM,950
GUJARAT GAS LIMITED,GUJGASLTD,1250
HAVELLS INDIA LIMITED,HAVELLS,1000
HCL TECHNOLOGIES LTD,HCLTECH,700
HDFC LTD,HDFC,300
HDFC AMC LIMITED,HDFCAMC,200
HDFC BANK LTD,HDFCBANK,550
HDFC LIFE INS CO LTD,HDFCLIFE,1100
HERO MOTOCORP LIMITED,HEROMOTOCO,300
HINDALCO INDUSTRIES LTD,HINDALCO,4300
HINDUSTAN PETROLEUM CORP,HINDPETRO,2700
HINDUSTAN UNILEVER LTD.,HINDUNILVR,300
INDIABULLS HSG FIN LTD,IBULHSGFIN,3100
ICICI BANK LTD.,ICICIBANK,1375
ICICI LOMBARD GIC LIMITED,ICICIGI,425
ICICI PRU LIFE INS CO LTD,ICICIPRULI,1500
VODAFONE IDEA LIMITED,IDEA,70000
IDFC FIRST BANK LIMITED,IDFCFIRSTB,19000
INDRAPRASTHA GAS LTD,IGL,1375
INTERGLOBE AVIATION LTD,INDIGO,500
INDUSIND BANK LIMITED,INDUSINDBK,900
INDUS TOWERS LIMITED,INDUSTOWER,2800
INFOSYS LIMITED,INFY,600
INDIAN OIL CORP LTD,IOC,6500
INDIAN RAIL TOUR CORP LTD,IRCTC,325
ITC LTD,ITC,3200
JINDAL STEEL & POWER LTD,JINDALSTEL,5000
JSW STEEL LIMITED,JSWSTEEL,2700
JUBILANT FOODWORKS LTD,JUBLFOOD,250
KOTAK MAHINDRA BANK LTD,KOTAKBANK,400
L&T FINANCE HOLDINGS LTD,L&TFH,8924
DR. LAL PATH LABS LTD.,LALPATHLAB,250
LIC HOUSING FINANCE LTD,LICHSGFIN,2000
LARSEN & TOUBRO LTD.,LT,575
L&T INFOTECH LIMITED,LTI,150
L&T TECHNOLOGY SER. LTD.,LTTS,200
LUPIN LIMITED,LUPIN,850
MAHINDRA & MAHINDRA LTD,M&M,1400
M&M FIN. SERVICES LTD,M&MFIN,4000
MANAPPURAM FINANCE LTD,MANAPPURAM,6000
MARICO LIMITED,MARICO,2000
MARUTI SUZUKI INDIA LTD.,MARUTI,100
UNITED SPIRITS LIMITED,MCDOWELL-N,1250
MAX FINANCIAL SERV LTD,MFSL,1300
MAHANAGAR GAS LTD.,MGL,600
MINDTREE LIMITED,MINDTREE,800
MOTHERSON SUMI SYSTEMS LT,MOTHERSUMI,7000
MPHASIS LIMITED,MPHASIS,325
MRF LTD,MRF,10
MUTHOOT FINANCE LIMITED,MUTHOOTFIN,750
NIPPON L I A M LTD,NAM-INDIA,1600
NATIONAL ALUMINIUM CO LTD,NATIONALUM,17000
INFO EDGE (I) LTD,NAUKRI,250
NAVIN FLUORINE INT. LTD,NAVINFLUOR,225
NESTLE INDIA LIMITED,NESTLEIND,50
NMDC LTD.,NMDC,6700
NTPC LTD,NTPC,5700
OIL AND NATURAL GAS CORP.,ONGC,7700
PAGE INDUSTRIES LTD,PAGEIND,30
PIRAMAL ENTERPRISES LTD,PEL,550
PETRONET LNG LIMITED,PETRONET,3000
POWER FIN CORP LTD.,PFC,6200
PFIZER LTD,PFIZER,125
PIDILITE INDUSTRIES LTD,PIDILITIND,500
PI INDUSTRIES LTD,PIIND,250
PUNJAB NATIONAL BANK,PNB,16000
POWER GRID CORP. LTD.,POWERGRID,4000
PVR LIMITED,PVR,407
THE RAMCO CEMENTS LIMITED,RAMCOCEM,850
RBL BANK LIMITED,RBLBANK,2900
REC LIMITED,RECLTD,6000
RELIANCE INDUSTRIES LTD,RELIANCE,250
STEEL AUTHORITY OF INDIA,SAIL,19000
SBI LIFE INSURANCE CO LTD,SBILIFE,750
STATE BANK OF INDIA,SBIN,3000
SHREE CEMENT LIMITED,SHREECEM,50
SIEMENS LTD,SIEMENS,550
SRF LTD,SRF,125
SHRIRAM TRANSPORT FIN CO.,SRTRANSFIN,800
SUN PHARMACEUTICAL IND L,SUNPHARMA,1400
SUN TV NETWORK LIMITED,SUNTV,1500
TATA CHEMICALS LTD,TATACHEM,2000
TATA CONSUMER PRODUCT LTD,TATACONSUM,1350
TATA MOTORS LIMITED,TATAMOTORS,5700
TATA POWER CO LTD,TATAPOWER,13500
TATA STEEL LIMITED,TATASTEEL,1700
TATA CONSULTANCY SERV LT,TCS,300
TECH MAHINDRA LIMITED,TECHM,1200
TITAN COMPANY LIMITED,TITAN,750
TORRENT PHARMACEUTICALS L,TORNTPHARM,250
TORRENT POWER LTD,TORNTPOWER,3000
TRENT LTD,TRENT,725
TVS MOTOR COMPANY LTD,TVSMOTOR,1400
UNITED BREWERIES LTD,UBL,700
ULTRATECH CEMENT LIMITED,ULTRACEMCO,200
UPL LIMITED,UPL,1300
VEDANTA LIMITED,VEDL,6200
VOLTAS LTD,VOLTAS,1000
